Site ID,Attacker IP,Target IP,Date,Iteration,Attack,MITRE ATT&CK,CWE,Port,Service,Type,Status (Ping),Status (Service),Status (Attack),Remark
506040,192.168.0.103,192.168.0.181,2024-11-24 16:50:36.898281,2,SQL Injection,TA0010: Exfiltration,"CWE-89: Improper Neutralization of Special Elements used in an SQL Command (""SQL Injection"")",80,http,Web,UP,UP,UNBLOCKED,Web exploit successful
506040,192.168.0.103,192.168.0.181,2024-11-24 16:50:57.494555,2,Cross Site Scripting (XSS),TA0004: Privilege Escalation,CWE-79: Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),80,http,Web,UP,UP,UNBLOCKED,Web exploit successful
506040,192.168.0.103,192.168.0.181,2024-11-24 16:51:18.197151,2,OS Command Injection,TA0002: Execution,CWE-78: OS Command Injection,80,http,Web,UP,UP,UNBLOCKED,Web exploit successful
506040,192.168.0.103,192.168.0.181,2024-11-24 16:51:38.769282,2,CVE-2011-2523: VSFTPD Backdoor Command Execution,TA0002: Execution,CWE-1104: Use of Unmaintained Third Party Components,21,ftp,Server,UP,UP,UNBLOCKED,Exploit successful and RCE achieved
506040,192.168.0.103,192.168.0.181,2024-11-24 16:51:44.190049,2,CVE-2010-2075: UnrealIRCd Remote Code Execution,TA0001: Initial Access,CWE-1104: Use of Unmaintained Third Party Components,"{8000, 6667}",irc,Server,UP,UP,UNBLOCKED,Exploit successful and RCE achieved
506040,192.168.0.103,192.168.0.181,2024-11-24 16:52:02.320393,2,"CVE-2007-2447: Samba ""username map script"" Command Execution",TA0002: Execution,CWE-1104: Use of Unmaintained Third Party Components,"{8001, 445}",samba,Server,UP,UP,UNBLOCKED,Exploit successful and RCE achieved
506040,192.168.0.103,192.168.0.181,2024-11-24 16:52:37.376876,2,SSH Bruteforce,T1110.001: Brute Force (Password Guessing),CWE-307: Improper Restriction of Excessive Authentication Attempts,22,ssh,Server,UP,UP,UNBLOCKED,Valid password found during brute-force attempt
506040,192.168.0.103,192.168.0.181,2024-11-24 16:52:39.717766,2,Network Enumeration (nmap),T1046: Network Service Discovery,CWE-200: Exposure of Sensitive Information to an Unauthorized Actor,22,ssh,Network,UP,UP,UNBLOCKED,Nmap successfully enumerated the port
506040,192.168.0.103,192.168.0.181,2024-11-24 16:52:42.476471,2,Network Enumeration (nmap),T1046: Network Service Discovery,CWE-200: Exposure of Sensitive Information to an Unauthorized Actor,"{8001, 445}",samba,Network,UP,UP,UNBLOCKED,Nmap successfully enumerated the port
506040,192.168.0.103,192.168.0.181,2024-11-24 16:52:57.505031,2,SYN Flood DDoS,T1498: Network Denial of Service (Direct Network Flood),CWE-400: Uncontrolled Resource Consumption,80,http,Network,UP,UP,UNBLOCKED,Service is DOWN due to DoS attack
506040,192.168.0.103,192.168.0.181,2024-11-24 16:53:49.398510,2,HTTP Slowloris DoS,T1498: Network Denial of Service (Direct Network Flood),CWE-400: Uncontrolled Resource Consumption,80,http,Network,UP,UP,UNBLOCKED,Service is DOWN due to DoS attack
506040,192.168.0.103,192.168.0.181,2024-11-24 16:54:37.354406,3,SQL Injection,TA0010: Exfiltration,"CWE-89: Improper Neutralization of Special Elements used in an SQL Command (""SQL Injection"")",80,http,Web,UP,UP,UNBLOCKED,Web exploit successful
506040,192.168.0.103,192.168.0.181,2024-11-24 16:54:57.956988,3,Cross Site Scripting (XSS),TA0004: Privilege Escalation,CWE-79: Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),80,http,Web,UP,UP,UNBLOCKED,Web exploit successful
506040,192.168.0.103,192.168.0.181,2024-11-24 16:55:18.594738,3,OS Command Injection,TA0002: Execution,CWE-78: OS Command Injection,80,http,Web,UP,UP,UNBLOCKED,Web exploit successful
506040,192.168.0.103,192.168.0.181,2024-11-24 16:55:39.270585,3,CVE-2011-2523: VSFTPD Backdoor Command Execution,TA0002: Execution,CWE-1104: Use of Unmaintained Third Party Components,21,ftp,Server,UP,UP,UNBLOCKED,Exploit successful and RCE achieved
506040,192.168.0.103,192.168.0.181,2024-11-24 16:55:44.655788,3,CVE-2010-2075: UnrealIRCd Remote Code Execution,TA0001: Initial Access,CWE-1104: Use of Unmaintained Third Party Components,"{8000, 6667}",irc,Server,UP,UP,UNBLOCKED,Exploit successful and RCE achieved
506040,192.168.0.103,192.168.0.181,2024-11-24 16:56:02.334108,3,"CVE-2007-2447: Samba ""username map script"" Command Execution",TA0002: Execution,CWE-1104: Use of Unmaintained Third Party Components,"{8001, 445}",samba,Server,UP,UP,UNBLOCKED,Exploit successful and RCE achieved
506040,192.168.0.103,192.168.0.181,2024-11-24 16:56:31.339793,3,SSH Bruteforce,T1110.001: Brute Force (Password Guessing),CWE-307: Improper Restriction of Excessive Authentication Attempts,22,ssh,Server,UP,UP,UNBLOCKED,Valid password found during brute-force attempt
506040,192.168.0.103,192.168.0.181,2024-11-24 16:56:33.720016,3,Network Enumeration (nmap),T1046: Network Service Discovery,CWE-200: Exposure of Sensitive Information to an Unauthorized Actor,22,ssh,Network,UP,UP,UNBLOCKED,Nmap successfully enumerated the port
506040,192.168.0.103,192.168.0.181,2024-11-24 16:56:36.589996,3,Network Enumeration (nmap),T1046: Network Service Discovery,CWE-200: Exposure of Sensitive Information to an Unauthorized Actor,"{8001, 445}",samba,Network,UP,UP,UNBLOCKED,Nmap successfully enumerated the port
506040,192.168.0.103,192.168.0.181,2024-11-24 16:56:50.383285,3,SYN Flood DDoS,T1498: Network Denial of Service (Direct Network Flood),CWE-400: Uncontrolled Resource Consumption,80,http,Network,UP,UP,UNBLOCKED,Service is DOWN due to DoS attack
506040,192.168.0.103,192.168.0.181,2024-11-24 16:57:41.843067,3,HTTP Slowloris DoS,T1498: Network Denial of Service (Direct Network Flood),CWE-400: Uncontrolled Resource Consumption,80,http,Network,UP,UP,UNBLOCKED,Service is DOWN due to DoS attack
